Step    -1: 10001 ms
Step    -1: 10001 ms
Step    -1: 10000 ms
Step    -1:  1899 ms
Step    -1:    47 ms
Step    -1:   867 ms
Step    -1:    49 ms
Step    -1:   874 ms
Step    -1:   137 ms
Step    -1:   770 ms
Step    -1: 31,20/0 ? | 31,22/0 ? | 32,23/0 se| 31,24/0 n | 31,28/0 ? | 32,29/0 ? |   253 ms
Step    52: 24,16/* sk| 35,26/* sk| 40,25/0 ne| 20,14/0 sw| 29, 3/6 ne| 31,38/2 sw|  8,41/2 se| 20,32/2 nw| 39,32/2 s | 33,44/2 w |  3352 ms
Step    52: 24,16/* sk| 35,26/* sk| 40,25/1 ne| 20,14/1 sw| 28, 2/0 ne| 30,39/0 sw|  7,42/0 se| 19,31/0 n | 39,33/0 s | 32,44/0 nw|    86 ms
Step    52: 24,16/* sk| 35,26/* sk| 41,24/0 n | 21,13/0 ne| 28, 2/1 ne| 30,39/1 sw|  7,42/1 se| 19,31/1 n | 39,33/1 s | 32,44/1 nw|  3411 ms
Step    53: 24,16/* sk| 35,26/* sk| 41,24/1 n | 21,13/1 ne| 29, 1/0 e | 29,40/0 ne|  8,43/0 ? | 18,30/0 ne| 39,34/0 se| 31,43/0 nw|   372 ms
Step    54: 24,16/* sk| 35,26/* sk| 41,24/2 n | 21,13/2 ne| 29, 1/1 e | 29,40/1 ne|  8,43/1 ? | 18,30/1 ne| 39,34/1 se| 31,43/1 nw|  3232 ms
Step    54: 24,16/* sk| 35,26/* sk| 41,24/3 n | 20,14/0 sw| 30, 1/0 e | 28,41/0 ne|  8,43/2 ? | 19,29/0 n | 40,35/0 sw| 30,42/0 nw|    20 ms
Step    54: 24,16/* sk| 35,26/* sk| 41,23/0 ne| 20,14/1 sw| 31, 2/0 sw| 28,41/1 ne|  8,43/3 ? | 19,29/1 n | 40,35/1 sw| 30,42/1 nw|  3657 ms
Step    55: 24,16/* sk| 35,26/* sk| 41,23/1 ne| 20,14/2 sw| 31, 2/1 sw| 29,40/0 n |  8,43/4 ? | 19,29/2 n | 41,36/0 sw| 29,41/0 se|   268 ms
Step    56: 24,16/* sk| 35,26/* sk| 42,22/0 se| 19,15/0 s | 31, 2/2 sw| 29,40/1 n |  8,43/5 ? | 19,29/3 n | 41,36/1 sw| 29,41/1 se|  3320 ms
Step    56: 24,16/* sk| 35,26/* sk| 42,22/1 se| 19,15/1 s | 31, 3/0 sw| 29,40/2 n |  8,43/6 ? | 19,29/4 nw| 40,37/0 sw| 29,41/2 e |     8 ms
Step    56: 24,16/* sk| 35,26/* sk| 42,22/2 se| 19,15/2 s | 31, 3/1 e | 29,40/3 sw|  8,43/7 ? | 19,29/5 nw| 40,37/1 ? | 29,41/3 e |   160 ms
Step    56: 24,16/* sk| 35,26/* sk| 43,23/0 e | 19,16/0 se| 30, 4/0 se| 29,40/4 sw|  8,43/8 ? | 19,29/6 nw| 40,37/2 ? | 29,41/4 e |  3396 ms
Step    58: 24,16/* sk| 35,26/* sk| 44,23/0 sk| 20,17/0 e | 30, 4/1 se| 29,40/5 sw|  8,43/9 ? | 20,28/0 nw| 40,37/3 ? | 30,42/0 ne|  3451 ms
Step    58: 24,16/* sk| 35,26/* sk| 44,23/1 sk| 20,17/1 e | 30, 4/2 se| 28,41/0 sk|  8,43/* ? | 20,28/1 nw| 40,37/4 ? | 31,41/0 w |   156 ms
Step    58: 24,16/* sk| 35,26/* sk| 44,23/2 sk| 20,17/2 e | 30, 4/3 se| 28,41/1 sk|  8,43/* ? | 20,28/2 nw| 40,37/5 ? | 31,41/1 w |  3404 ms
Step    59: 24,16/* sk| 35,26/* sk| 44,23/3 sk| 20,17/3 e | 31, 5/0 sw| 28,41/2 nw|  8,43/* ? | 19,27/0 nw| 40,37/6 ? | 32,40/0 sw|   271 ms
Step    60: 24,16/* sk| 35,26/* sk| 44,23/4 sk| 20,17/4 e | 32, 4/0 sw| 28,41/3 nw|  8,43/* ? | 18,26/0 sw| 40,37/7 ? | 32,40/1 sw|  3339 ms
Step    60: 24,16/* sk| 35,26/* sk| 44,23/5 sk| 21,17/0 ne| 32, 4/1 sw| 28,41/4 nw|  8,43/* ? | 18,26/1 sw| 40,37/8 ? | 31,40/0 s |   235 ms
Step    61: 24,16/* sk| 35,26/* sk| 44,23/6 sk| 22,16/0 nw| 31, 5/0 se| 28,41/5 nw|  8,43/* ? | 17,27/0 w | 40,37/9 ? | 31,40/1 s |  3387 ms
Step    61: 24,16/* sk| 35,26/* sk| 44,23/7 sk| 22,16/1 nw| 31, 5/1 se| 27,40/0 sw|  8,43/* ? | 17,27/1 w | 40,37/* ? | 31,41/0 ne|   119 ms
Step    61: 24,16/* sk| 35,26/* sk| 44,23/8 sk| 23,17/0 w | 30, 6/0 se| 27,40/1 sw|  8,43/* ? | 16,27/0 nw| 40,37/* ? | 31,41/1 ne|  3451 ms
Step    62: 24,16/* sk| 35,26/* sk| 44,23/9 sk| 23,17/1 w | 30, 6/1 se| 26,39/0 se|  8,43/* ? | 16,27/1 nw| 40,37/* ? | 30,42/0 ne|   230 ms
Step    62: 24,16/* sk| 35,26/* sk| 44,23/* nw| 22,16/0 sw| 31, 7/0 sw| 26,39/1 se|  8,43/* ? | 16,27/2 w | 40,37/* ? | 30,42/1 ne|  3297 ms
